#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Feb 15 09:09:16 EST 2020,92,92,Assignment2Suite,ContainsTest0+ EmptyTest0+ EmptyTest1+ FindMinMaxTest0+ FindMinMaxTest1+ FindMinMaxTest2+ HeightTest+ InsertAfterRemoveTest0+ InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0+ InsertTest1+ InsertTest2+ RemoveTest0+ RemoveTest1+ RemoveTest3+ RemoveTest4+ RemoveTest5+ RemoveTest6+ RemoveTest7+ SizeTest0+ SizeTest1+ SizeTest2+ , ,ContainsTest1- RemoveTest2- , ,
1,Sat Feb 15 09:19:53 EST 2020,100,8,Assignment2Suite,ContainsTest0 ContainsTest1+ EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2+ RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 , , , ,
2,Sat Feb 15 09:21:18 EST 2020,100,0,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 EmptyTest1 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest0 SizeTest1 SizeTest2 , , , ,
